xmsim(64): 22.03-s012: (c) Copyright 1995-2023 Cadence Design Systems, Inc.
TOOL:	xmsim(64)	22.03-s012: Started on Jul 06, 2026 at 23:26:35 KST
xmsim
    -gui
    -MESS
    tb_shift_register_sipo

xmsim: *W,NOMTDGUI: Multi-Threaded Dumping is disabled for interactive debug mode.

-------------------------------------
Relinquished control to SimVision...
xcelium> 
xcelium> database -open waves -into waves.shm -default
Created default SHM database waves
xcelium> probe -create -shm tb_shift_register_sipo.clk tb_shift_register_sipo.i_serial_in tb_shift_register_sipo.o_parallel_out tb_shift_register_sipo.rst_n
Created probe 1
xcelium> run
time=535000 | reset=1 | serial_in=0 | parallel_out=01000101111000010111110011100000
time=540000 | reset=1 | serial_in=1 | parallel_out=01000101111000010111110011100000
time=545000 | reset=1 | serial_in=1 | parallel_out=10001011110000101111100111000001
time=550000 | reset=1 | serial_in=0 | parallel_out=10001011110000101111100111000001
time=555000 | reset=1 | serial_in=0 | parallel_out=00010111100001011111001110000010
time=565000 | reset=1 | serial_in=0 | parallel_out=00101111000010111110011100000100
time=570000 | reset=1 | serial_in=1 | parallel_out=00101111000010111110011100000100
time=575000 | reset=1 | serial_in=1 | parallel_out=01011110000101111100111000001001
time=585000 | reset=1 | serial_in=1 | parallel_out=10111100001011111001110000010011
time=590000 | reset=1 | serial_in=0 | parallel_out=10111100001011111001110000010011
time=595000 | reset=1 | serial_in=0 | parallel_out=01111000010111110011100000100110
time=605000 | reset=1 | serial_in=0 | parallel_out=11110000101111100111000001001100
time=615000 | reset=1 | serial_in=0 | parallel_out=11100001011111001110000010011000
time=625000 | reset=1 | serial_in=0 | parallel_out=11000010111110011100000100110000
time=635000 | reset=1 | serial_in=0 | parallel_out=10000101111100111000001001100000
time=640000 | reset=1 | serial_in=1 | parallel_out=10000101111100111000001001100000
time=645000 | reset=1 | serial_in=1 | parallel_out=00001011111001110000010011000001
time=655000 | reset=1 | serial_in=1 | parallel_out=00010111110011100000100110000011
time=665000 | reset=1 | serial_in=1 | parallel_out=00101111100111000001001100000111
time=675000 | reset=1 | serial_in=1 | parallel_out=01011111001110000010011000001111
time=685000 | reset=1 | serial_in=1 | parallel_out=10111110011100000100110000011111
time=695000 | reset=1 | serial_in=1 | parallel_out=01111100111000001001100000111111
Simulation complete via $finish(1) at time 700 NS + 0
./tb_shift_register_sipo.v:39 		#50 $finish;
xcelium> ^C
xcelium> exit
TOOL:	xmsim(64)	22.03-s012: Exiting on Jul 06, 2026 at 23:33:33 KST  (total: 00:06:58)
